Lender,IDs,Loan Count,Total Amount,Total Employees,Traditional
First Trust Bank of Illinois,[123046],332,20072025.04,1931.0,1
First Trust and Savings Bank,[25605],259,9108464.89,1166.0,1
First U.S. Community CU,[92651],210,9195330.88,1267.0,0
First US Bank,[3307],255,20273933.0,2745.0,1
First United Bank,"[69778, 52926]",9028,284631883.15999997,32404.0,1
First United Bank & Trust,[30767],1988,212642046.03000003,24557.0,1
First United Bank and Trust Company,"[58899, 119852]",10779,984101487.1100001,118020.0,1
First United CU,[99081],25,1434222.65,229.0,0
First Utah Bank,[72740],1065,146960433.0,19132.0,1
First Vision Bank of Tennessee,[437145],532,26262547.0,3769.0,1
First Western Bank,[4163],314,22347755.75,2870.0,1
First Western Bank & Trust,[52905],1764,167061011.13000003,16316.0,0
"First Western SBLC, Inc",[188665],279,26369889.0,3424.0,0
First Western Trust Bank,[373048],1486,311177016.46000004,27839.0,1
"First Westroads Bank, Inc",[42461],351,49287862.0,5438.0,0
First Whitney Bank & Trust,[24570],247,13791165.89,1650.0,0
First-Citizens Bank & Trust Company,[51009],37278,5218540206.82,553071.0,1
First-Citizens National Bank,[66949],1303,72299980.32,7146.0,0
FirstBank,"[58732, 15596, 68822]",23863,1932054228.12,204207.0,1
FirstBank Puerto Rico,[119497],12601,727604239.38,136191.0,1
FirstBank of Nebraska,[42693],657,18401688.919999998,2108.0,1
FirstLight FCU,[105540],721,21856922.35,3410.0,0
FirstOak Bank,[25805],162,10840470.01,1129.0,1
FirstState Bank,[2080],181,7113393.359999999,1174.0,1
Firstar Bank,[59271],871,75095845.74000001,8353.0,1
Firstrust Savings Bank,[80997],2588,548105177.35,51511.0,1
Five Points Bank,[42205],1846,174956051.42000002,18288.0,1
Five Points Bank of Hastings,[42664],426,39087625.67,4263.0,1
Five Star Bank,"[124369, 50167]",4424,739801212.5,76547.0,1
Flagler Bank,[124448],949,94545076.0,10485.0,1
Flagship Bank,[437740],846,100473217.52,11839.0,1
Flagship Bank Minnesota,[38227],612,60163066.37,7133.0,1
"Flagship Enterprise Center, Inc. (dba Bankable)",[473200],635,16307733.2,2901.0,0
Flagstar Bank National Association,[49887],5319,562628078.75,61050.0,0
Flanagan State Bank,[21374],331,8451751.74,955.0,1
FlatIrons Bank,[224832],487,65176194.70999999,6715.0,1
Flatwater Bank,[42202],513,14857541.64,1946.0,1
Flint Community Bank,[437877],375,33888509.51,4785.0,1
Flint Hills Bank,[25825],143,2967388.31,445.0,1
Flora Bank & Trust,[21377],83,5987233.38,855.0,1
Florence Bank,[33183],362,29720710.18,3009.0,1
Florida A&M University FCU,[94270],396,7928602.050000003,893.0,0
Florida Business Development Corporation,[188130],52,3216593.0,551.0,0
Florida CU,[94109],935,45471320.68,7122.0,0
"Florida Capital Bank, National Association",[17728],209,31212561.0,3482.0,0
Flushing Bank,[447380],1327,307799921.15,24911.0,1
Focus Bank,[40230],731,47451931.71000001,5398.0,1
Forbright Bank,[342932],2448,564868396.46,60466.0,1
"Forcht Bank, National Association",[282649],1105,94878659.10999998,12556.0,1
Foresight Bank,[38758],525,21082369.5,2594.0,1
Forest Park National Bank and Trust Company,[21378],470,38049787.51,4322.0,1
Fortifi Bank,[75640],534,53666091.71,6211.0,1
Fortis Private Bank,[121395],354,69313367.0,5666.0,0
Fortress Bank,[21621],753,64309169.970000006,7201.0,1
Forum CU,[96521],606,25822580.22,3135.0,0
Foundation One Bank,[42701],223,36578957.39,3895.0,1
Founders Bank,[528465],17,865723.0,56.0,1
Fountainhead SBF LLC,[524612],130898,2493894568.3399997,202976.0,0
Four Corners Community Bank,[124345],754,100778922.88000001,11154.0,1
Fourth Capital Bank,[517294],290,45070080.2,4605.0,1
Fowler State Bank,"[15514, 23143]",421,14098229.88,1847.0,1
Frandsen Bank & Trust,[38689],4493,337517762.84999996,38988.0,1
Frankenmuth CU,[98960],1200,56963371.63,8027.0,0
Franklin Bank & Trust Company,[27010],600,75466400.0,9239.0,1
Franklin Mint FCU,[104147],297,16161512.5,2287.0,0
Franklin Savings Bank,"[29665, 43077]",1173,64678070.83,8539.0,1
Franklin State Bank & Trust Company,[29368],213,5730713.350000001,797.0,1
Fredonia Valley Bank,[27015],118,2856255.87,360.0,1
FreeStar Financial CU,[99429],45,1951715.02,269.0,0
Freedom Bank,"[455592, 434041, 124098, 69968]",1273,85357986.79000002,10536.0,1
Freedom Bank of Southern Missouri,[124303],945,26061640.4,3427.0,1
