ZIP,Num Farms,Num Estabs,Total Emp Bus,Min Share,Black Share,Number of Loans_1,Total Loans Amount_1,Total Employees_1,Number of Loans_2,Total Loans Amount_2,Total Employees_2,Number of Loans_3,Total Loans Amount_3,Total Employees_3
30607,47.0,249.0,296.0,0.406873508353222,0.2945107398568019,43,2476480.1900000004,364,53,1638873.0,283,59,2103710.46,277
30608,0.0,7.0,7.0,,,2,208200.0,15,3,182153.0,22,0,0.0,0
30609,0.0,0.0,0.0,0.1900584795321637,0.1015037593984962,0,0.0,0,0,0.0,0,0,0.0,0
30619,33.0,20.0,53.0,0.0693454309786131,0.0207388204795852,5,108268.25,22,6,129175.39000000001,13,6,88965.5,13
30620,52.0,211.0,263.0,0.2232836672132316,0.1313894631781564,19,866818.5,128,59,1763149.24,316,58,1709494.3199999998,234
30621,82.0,94.0,176.0,0.0807732136693131,0.0260614428719364,17,603712.3200000001,124,41,752353.54,133,30,574358.75,110
30622,43.0,384.0,427.0,0.2255029450011474,0.1106096534842805,70,3695882.9009999996,582,70,2119540.2199999997,350,68,2189765.18,402
30623,15.0,3.0,18.0,0.4791666666666666,0.4791666666666667,2,19404.18,7,2,9115.67,5,1,15207.0,1
30624,92.0,29.0,121.0,0.1057692307692307,0.0858753315649867,4,88840.0,18,4,26450.059999999998,5,6,67941.45,13
30625,44.0,34.0,78.0,0.237412858249419,0.2300542215336948,4,83885.45,18,12,297929.02,61,8,166725.64,25
30627,71.0,26.0,97.0,0.2485943775100402,0.1771084337349397,4,114795.5,19,3,52597.0,13,7,147589.6,14
30628,89.0,72.0,161.0,0.166689683745339,0.1226349951664134,15,652970.64,130,13,424144.0,75,17,354259.60000000003,51
30629,113.0,60.0,173.0,0.2356238322607432,0.086153207390492,9,463354.0,83,18,448540.37,93,16,617286.7,96
30630,67.0,49.0,116.0,0.3822185292895721,0.3406730369754882,11,653290.0,121,10,313388.36999999994,46,14,515816.9,102
30631,33.0,16.0,49.0,0.6264984227129338,0.58801261829653,2,82016.67,10,1,21055.0,5,6,56838.25,8
30633,217.0,111.0,328.0,0.1330902461257976,0.0327028258887876,14,684414.12,101,26,669973.2,117,24,820467.7899999999,97
30634,66.0,25.0,91.0,0.1373370577281192,0.1303538175046555,2,122950.0,22,5,104898.39,18,11,196699.36000000002,25
30635,276.0,395.0,671.0,0.385,0.3384210526315789,99,5492414.67,733,66,1907952.8899999997,296,59,2247626.28,309
30638,9.0,0.0,9.0,,,0,0.0,0,0,0.0,0,0,0.0,0
30639,6.0,16.0,22.0,,,0,0.0,0,1,38815.65,9,1,49024.25,3
30641,65.0,27.0,92.0,0.0699300699300699,0.0457235072619688,5,259627.32,25,8,263494.12,27,3,99651.4,10
30642,155.0,420.0,575.0,0.3736263736263736,0.3076923076923077,86,4688175.140000001,660,108,2814492.64,391,82,2554954.54,357
30643,205.0,342.0,547.0,0.2786207787176341,0.245173371214567,49,2659019.7399999998,495,69,1974352.78,321,69,2058423.0,328
30645,2.0,0.0,2.0,,,0,0.0,0,2,32900.0,6,0,0.0,0
30646,85.0,99.0,184.0,0.1508777020165385,0.1106920063832874,19,850016.5,157,27,609088.67,111,22,583761.72,108
30647,13.0,9.0,22.0,,,1,20260.0,3,4,70354.0,14,1,42500.0,7
30648,75.0,43.0,118.0,0.2166446499339498,0.2054161162483487,10,469313.68,94,9,207823.77,39,12,330869.87000000005,56
30650,279.0,443.0,722.0,0.303566953470888,0.2814301227967588,109,5173632.149999999,760,104,3032303.22,567,104,3737656.61,502
30655,103.0,638.0,741.0,0.3061137733807388,0.2752357396815582,118,6131791.289999998,939,164,5194057.449999999,856,126,4350717.869999999,626
30656,96.0,232.0,328.0,0.2133035821975636,0.1756724158726329,28,1145573.84,204,76,1884265.2799999998,323,56,1686733.85,328
30660,22.0,5.0,27.0,0.3735973597359736,0.2554455445544554,0,0.0,0,2,35994.9,4,3,50206.32,3
30662,256.0,159.0,415.0,0.116300261988837,0.0845198769791548,27,1529868.4000000001,267,31,955859.97,148,46,1083283.65,193
30663,92.0,56.0,148.0,0.2454519203003176,0.1900086630089517,7,185117.80000000002,46,20,1291910.78,115,15,371789.93000000005,56
30664,0.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0,0.0,0,0,0.0,0,0,0.0,0
30665,4.0,7.0,11.0,1.0,1.0,0,0.0,0,2,55239.6,9,0,0.0,0
30666,79.0,155.0,234.0,0.260548742465184,0.1290791935148617,28,1071083.6199999999,165,59,1719727.1,205,39,1160811.07,142
30667,39.0,8.0,47.0,0.0799059929494712,0.0775558166862514,2,122303.45,12,5,105189.0,18,6,121674.32,10
30668,55.0,12.0,67.0,0.400871459694989,0.3970588235294117,4,171438.96,26,3,54927.72,8,7,152824.16,45
30669,38.0,35.0,73.0,0.5184183845893884,0.4430550861777627,3,75056.0,12,16,639536.34,135,7,237621.65,49
30671,14.0,0.0,14.0,,,0,0.0,0,0,0.0,0,0,0.0,0
30673,168.0,168.0,336.0,0.4747249479631281,0.4330954504906333,39,1470273.25,235,27,808160.4299999998,147,41,1019503.89,167
