"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"92553","MORENO VALLEY, CA","G",12805,"G",106287,"H",503574,1063,"MORENO VALLEY","CA","RIVERSIDE"
"92554","MORENO VALLEY, CA","J",34,"J",242,"J",1028,8,"MORENO VALLEY","CA","RIVERSIDE"
"92555","MORENO VALLEY, CA","G",9143,"G",140807,"G",591378,353,"MORENO VALLEY","CA","RIVERSIDE"
"92556","MORENO VALLEY, CA","G",77,"G",642,"G",2738,11,"MORENO VALLEY","CA","RIVERSIDE"
"92557","MORENO VALLEY, CA","G",3070,"G",23418,"G",105006,404,"MORENO VALLEY","CA","RIVERSIDE"
"92561","MOUNTAIN CENTER, CA","H",138,"H",973,"H",5626,32,"MOUNTAIN CENTER","CA","RIVERSIDE"
"92562","MURRIETA, CA","G",19792,"G",221348,"G",1009450,1871,"MURRIETA","CA","RIVERSIDE"
"92563","MURRIETA, CA","G",10167,"G",141185,"G",573143,1121,"MURRIETA","CA","RIVERSIDE"
"92564","MURRIETA, CA","H",244,"J",1793,"J",9325,20,"MURRIETA","CA","RIVERSIDE"
"92567","NUEVO, CA","G",389,"G",4579,"G",22033,78,"NUEVO","CA","RIVERSIDE"
"92570","PERRIS, CA","H",8816,"H",97001,"H",400296,580,"PERRIS","CA","RIVERSIDE"
"92571","PERRIS, CA","G",11864,"G",135927,"G",618251,522,"PERRIS","CA","RIVERSIDE"
"92572","PERRIS, CA","H",147,"H",1550,"G",5597,7,"PERRIS","CA","RIVERSIDE"
"92581","SAN JACINTO, CA","J",1394,"J",12460,"J",57659,7,"SAN JACINTO","CA","RIVERSIDE"
"92582","SAN JACINTO, CA","G",1225,"H",16785,"H",72283,176,"SAN JACINTO","CA","RIVERSIDE"
"92583","SAN JACINTO, CA","H",3466,"G",28905,"G",130088,304,"SAN JACINTO","CA","RIVERSIDE"
"92584","MENIFEE, CA","G",6102,"G",45791,"G",212101,602,"MENIFEE","CA","RIVERSIDE"
"92585","SUN CITY, CA","G",2337,"G",32578,"G",133508,188,"SUN CITY","CA","RIVERSIDE"
"92586","SUN CITY, CA","G",3542,"G",28612,"G",122441,257,"SUN CITY","CA","RIVERSIDE"
"92587","QUAIL VALLEY, CA","H",1527,"H",12836,"G",60910,300,"QUAIL VALLEY","CA","RIVERSIDE"
"92589","TEMECULA, CA","G",315,"H",2020,"G",10234,19,"TEMECULA","CA","RIVERSIDE"
"92590","TEMECULA, CA","G",20195,"G",268366,"G",1207939,1456,"TEMECULA","CA","RIVERSIDE"
"92591","TEMECULA, CA","G",16227,"G",157160,"G",723954,1215,"TEMECULA","CA","RIVERSIDE"
"92592","TEMECULA, CA","H",15322,"H",152313,"H",695140,1354,"TEMECULA","CA","RIVERSIDE"
"92593","TEMECULA, CA","G",83,"G",481,"G",2743,12,"TEMECULA","CA","RIVERSIDE"
"92595","WILDOMAR, CA","G",5483,"G",68520,"G",288950,517,"WILDOMAR","CA","RIVERSIDE"
"92596","WINCHESTER, CA","H",1742,"H",15595,"H",69411,287,"WINCHESTER","CA","RIVERSIDE"
"92602","IRVINE, CA","G",7787,"G",151715,"G",635344,768,"IRVINE","CA","ORANGE"
"92603","IRVINE, CA","G",2551,"G",32663,"G",154607,484,"IRVINE","CA","ORANGE"
"92604","IRVINE, CA","G",6873,"H",149558,"H",495028,999,"IRVINE","CA","ORANGE"
"92605","HUNTINGTON BEACH, CA","J",32,"H",238,"H",1183,10,"HUNTINGTON BEACH","CA","ORANGE"
"92606","IRVINE, CA","G",19318,"G",376820,"G",1558898,1141,"IRVINE","CA","ORANGE"
"92607","LAGUNA NIGUEL, CA","J",40,"H",385,"H",1744,16,"LAGUNA NIGUEL","CA","ORANGE"
"92609","EL TORO, CA","H",26,"J",399,"J",1771,3,"EL TORO","CA","ORANGE"
"92610","FOOTHILL RANCH, CA","G",15059,"G",373349,"G",1292137,518,"FOOTHILL RANCH","CA","ORANGE"
"92612","IRVINE, CA","G",42115,"G",1303365,"G",5050893,2215,"IRVINE","CA","ORANGE"
"92614","IRVINE, CA","G",65212,"G",1677587,"G",6603368,2624,"IRVINE","CA","ORANGE"
"92615","HUNTINGTON BEACH, CA","J",158,"J",1718,"J",9223,12,"HUNTINGTON BEACH","CA","ORANGE"
"92616","IRVINE, CA","J",681,"J",7630,"J",31321,12,"IRVINE","CA","ORANGE"
"92617","IRVINE, CA","H",6551,"H",534511,"H",2025920,154,"IRVINE","CA","ORANGE"
"92618","IRVINE, CA","G",98556,"G",2543371,"G",10429057,4367,"IRVINE","CA","ORANGE"
"92619","IRVINE, CA","G",579,"H",22285,"H",102890,28,"IRVINE","CA","ORANGE"
"92620","IRVINE, CA","G",7099,"G",68674,"G",316943,1390,"IRVINE","CA","ORANGE"
"92623","IRVINE, CA","H",220,"G",2061,"G",15813,21,"IRVINE","CA","ORANGE"
"92624","CAPISTRANO BEACH, CA","G",1168,"G",13521,"G",56418,227,"CAPISTRANO BEACH","CA","ORANGE"
"92625","CORONA DEL MAR, CA","G",3313,"G",41919,"G",198420,588,"CORONA DEL MAR","CA","ORANGE"
"92626","COSTA MESA, CA","G",57681,"G",1138099,"G",4693850,3150,"COSTA MESA","CA","ORANGE"
"92627","COSTA MESA, CA","G",17141,"G",190953,"G",853043,2095,"COSTA MESA","CA","ORANGE"
"92628","COSTA MESA, CA","G",65,"G",385,"H",4984,13,"COSTA MESA","CA","ORANGE"
